PersPerFam,PctHousLess3BR,householdsize,NumIlleg,state,PersPerRentOccHous,PctHousOwnOcc,PctWorkMomYoungKids,MedRentPctHousInc,NumUnderPov,ViolentCrimesPerPop
0.43,0.0,0.11332868530700317,0.0,65,0.26,0.24,0.46,0.32,0.009950330853168083,0.67
0.42,0.5,0.3987761199573678,0.009950330853168083,65,0.42,0.41,0.71,0.39,0.009950330853168083,0.43
0.65,0.5,0.598836501088704,0.0295588022415444,5,0.94,0.96,0.85,0.51,0.009950330853168083,0.12
0.91,0.5,0.019802627296179712,0.0,95,0.89,0.87,0.4,0.51,0.0,0.03
0.62,0.0,0.058268908123975775,0.0,13,0.39,0.3,0.3,0.59,0.009950330853168083,0.14
0.77,0.5,0.0,0.0,7,0.65,0.57,0.57,0.44,0.009950330853168083,0.03
0.45,0.0,0.0295588022415444,0.019802627296179712,46,0.39,0.46,0.29,0.59,0.0295588022415444,0.55
0.51,0.0,0.18232155679395465,0.019802627296179712,61,0.5,0.49,0.65,0.13,0.039220713153281295,0.53
0.65,0.0,0.058268908123975775,0.0,46,0.48,0.38,0.72,0.27,0.0,0.15
0.62,0.0,0.13976194237515868,0.04879016416943201,12,0.49,0.49,0.83,0.67,0.058268908123975775,0.24
0.85,0.5,0.07696104113612832,0.009950330853168083,13,0.72,0.62,0.31,0.51,0.009950330853168083,0.08
0.87,0.5,0.009950330853168083,0.0,21,0.83,0.78,0.33,0.39,0.009950330853168083,0.06
0.88,0.5,0.0,0.0,87,0.65,0.55,0.56,0.35,0.0,0.09
0.66,0.5,0.009950330853168083,0.009950330853168083,11,0.47,0.5,0.3,0.81,0.019802627296179712,0.21
0.23,0.0,0.33647223662121295,0.12221763272424921,1,0.24,0.22,0.61,0.35,0.13976194237515868,0.3
0.88,0.5,0.009950330853168083,0.0,27,0.89,0.86,0.51,0.52,0.0,0.49
0.66,0.5,0.009950330853168083,0.009950330853168083,13,0.54,0.46,0.53,0.22,0.019802627296179712,0.07
0.6,0.5,0.04879016416943201,0.07696104113612832,33,0.47,0.49,0.3,0.59,0.13976194237515868,0.15
0.53,0.5,0.3852624007906449,0.12221763272424921,31,0.55,0.54,0.55,0.41,0.13976194237515868,0.03
0.49,0.0,0.019802627296179712,0.009950330853168083,46,0.38,0.38,0.37,0.38,0.0295588022415444,0.34
0.54,0.0,0.04879016416943201,0.0295588022415444,13,0.39,0.42,0.47,0.55,0.04879016416943201,0.69
0.58,0.0,0.019802627296179712,0.0,65,0.49,0.47,0.65,0.59,0.009950330853168083,0.21
0.47,0.0,0.3784364357202451,0.04879016416943201,28,0.3,0.33,0.56,0.48,0.039220713153281295,0.63
0.65,0.5,0.009950330853168083,0.0,29,0.66,0.64,0.27,0.27,0.019802627296179712,0.31
0.41,0.5,0.3576744442718159,0.009950330853168083,46,0.53,0.54,0.23,0.36,0.0295588022415444,0.12
0.83,0.5,0.009950330853168083,0.0,7,0.81,0.77,0.7,0.63,0.0,0.84
0.63,0.5,0.0,0.0,46,0.53,0.5,0.35,0.25,0.019802627296179712,0.1
0.51,0.0,0.1310282624064041,0.11332868530700317,33,0.58,0.54,0.7,0.39,0.13976194237515868,0.49
0.55,0.0,0.2776317365982795,0.0295588022415444,11,0.24,0.21,0.68,0.16,0.10436001532424277,0.02
0.79,0.5,0.058268908123975775,0.0,61,0.57,0.52,0.67,0.82,0.009950330853168083,0.16
0.47,0.0,0.173953307123438,0.08617769624105233,12,0.53,0.5,0.64,0.24,0.13976194237515868,0.19
0.78,0.5,0.058268908123975775,0.009950330853168083,61,0.72,0.71,0.59,0.78,0.009950330853168083,0.15
0.62,0.0,0.009950330853168083,0.009950330853168083,46,0.5,0.62,0.21,0.55,0.0295588022415444,0.31
0.65,0.5,0.2151113796169455,0.009950330853168083,13,0.39,0.44,0.4,0.39,0.0295588022415444,0.08
0.75,0.0,0.1906203596086497,0.0,23,0.31,0.24,0.34,0.73,0.0,0.24
0.72,0.5,0.009950330853168083,0.0,29,0.78,0.8,0.31,0.84,0.0,0.11
0.67,0.0,0.07696104113612832,0.009950330853168083,7,0.6,0.52,0.63,0.54,0.0295588022415444,0.22
0.3,0.5,0.598836501088704,0.009950330853168083,65,0.56,0.55,0.81,0.39,0.019802627296179712,0.13
0.91,0.5,0.019802627296179712,0.0,3,0.92,0.93,0.0,0.47,0.009950330853168083,0.07
0.7,0.5,0.019802627296179712,0.009950330853168083,53,0.46,0.42,0.52,0.48,0.12221763272424921,0.11
0.72,0.5,0.37156355643248307,0.019802627296179712,7,0.83,0.81,0.56,0.61,0.019802627296179712,0.06
0.64,0.5,0.0295588022415444,0.009950330853168083,65,0.63,0.66,0.13,0.19,0.019802627296179712,0.8
0.62,0.5,0.019802627296179712,0.009950330853168083,11,0.59,0.52,0.68,0.52,0.019802627296179712,0.22
0.57,0.0,0.009950330853168083,0.009950330853168083,19,0.51,0.49,0.6,0.74,0.019802627296179712,0.17
0.44,0.0,0.15700374880966475,0.0295588022415444,28,0.56,0.55,0.49,0.08,0.06765864847381481,0.16
0.59,0.5,0.1310282624064041,0.12221763272424921,33,0.47,0.46,0.38,0.62,0.13976194237515868,0.2
0.65,0.5,0.25464221837358075,0.019802627296179712,7,0.84,0.79,0.35,0.5,0.019802627296179712,0.12
0.9,0.5,0.009950330853168083,0.0,5,0.87,0.8,0.21,0.57,0.0,0.11
0.59,0.5,0.019802627296179712,0.0,65,0.51,0.52,0.31,0.21,0.019802627296179712,0.12
0.57,0.5,0.09531017980432487,0.009950330853168083,46,0.54,0.59,0.26,0.44,0.0295588022415444,0.2
0.62,0.5,0.04879016416943201,0.0295588022415444,12,0.51,0.53,0.51,0.65,0.06765864847381481,0.68
0.46,0.0,0.009950330853168083,0.0,65,0.46,0.47,0.33,0.23,0.019802627296179712,0.23
0.58,0.5,0.3920420877760237,0.08617769624105233,33,0.54,0.51,0.52,0.15,0.13976194237515868,0.05
0.66,0.5,0.0,0.0,35,0.7,0.66,0.57,0.59,0.0,0.1
0.81,0.5,0.009950330853168083,0.0,31,0.64,0.59,0.35,0.7,0.0,0.28
0.57,0.0,0.009950330853168083,0.009950330853168083,65,0.45,0.43,0.66,0.22,0.019802627296179712,0.22
0.52,0.0,0.09531017980432487,0.019802627296179712,46,0.54,0.55,0.49,0.41,0.0295588022415444,0.22
0.45,0.0,0.173953307123438,0.019802627296179712,13,0.48,0.59,0.13,0.61,0.0295588022415444,0.55
0.8,0.5,0.009950330853168083,0.0,11,0.6,0.55,0.51,0.66,0.009950330853168083,0.05
0.42,0.0,0.3920420877760237,0.058268908123975775,29,0.48,0.49,0.56,0.32,0.06765864847381481,0.03
0.81,0.5,0.06765864847381481,0.0,3,0.81,0.79,0.09,0.81,0.0,0.07
0.42,0.0,0.20701416938432612,0.058268908123975775,23,0.24,0.27,0.58,0.66,0.058268908123975775,0.07
0.59,0.5,0.009950330853168083,0.009950330853168083,53,0.56,0.5,0.5,0.44,0.009950330853168083,0.57
0.91,1.0,0.04879016416943201,0.0,11,0.85,0.77,0.21,0.3,0.009950330853168083,0.37
0.69,0.5,0.019802627296179712,0.009950330853168083,20,0.61,0.61,0.57,0.68,0.019802627296179712,0.14
0.69,0.5,0.019802627296179712,0.009950330853168083,11,0.6,0.56,0.51,0.04,0.039220713153281295,0.61
0.86,0.5,0.009950330853168083,0.0,9,0.88,0.84,0.6,0.53,0.0,0.03
0.56,0.0,0.07696104113612832,0.0295588022415444,9,0.54,0.52,0.62,0.61,0.039220713153281295,0.5
0.44,0.0,0.019802627296179712,0.009950330853168083,1,0.66,0.69,0.44,0.65,0.019802627296179712,0.05
0.53,0.5,0.1906203596086497,0.019802627296179712,13,0.58,0.62,0.53,0.18,0.0295588022415444,0.04
0.42,0.0,0.039220713153281295,0.06765864847381481,12,0.58,0.58,0.37,0.42,0.13976194237515868,0.21
0.56,0.0,0.1988508587451652,0.09531017980432487,33,0.53,0.5,0.67,0.54,0.13976194237515868,0.05
0.65,0.0,0.1906203596086497,0.0,65,0.59,0.61,0.76,0.32,0.019802627296179712,0.02
0.91,0.5,0.0,0.0,99,0.95,0.93,0.4,0.41,0.0,0.14
0.54,0.0,0.009950330853168083,0.0,27,0.39,0.33,0.57,0.41,0.019802627296179712,0.18
0.66,0.5,0.039220713153281295,0.0,65,0.66,0.67,0.5,0.22,0.009950330853168083,0.12
0.7,0.5,0.0,0.0,13,0.68,0.7,0.64,0.55,0.019802627296179712,0.68
0.76,0.0,0.019802627296179712,0.0,13,0.69,0.73,0.32,0.54,0.009950330853168083,0.7
0.52,0.0,0.0,0.009950330853168083,65,0.47,0.49,0.52,0.54,0.019802627296179712,0.75
0.67,0.0,0.009950330853168083,0.009950330853168083,11,0.69,0.74,0.4,0.62,0.019802627296179712,0.3
0.66,0.0,0.18232155679395465,0.009950330853168083,13,0.22,0.27,0.66,0.8,0.019802627296179712,0.24
0.66,0.5,0.2851789422336624,0.009950330853168083,13,0.66,0.62,0.57,0.25,0.019802627296179712,1.0
0.81,0.5,0.009950330853168083,0.0,3,0.8,0.7,0.11,0.54,0.0,0.0
0.65,0.5,0.009950330853168083,0.0,65,0.68,0.67,0.59,0.32,0.0,0.03
0.62,0.5,0.04879016416943201,0.009950330853168083,11,0.47,0.46,0.52,0.87,0.0295588022415444,0.06
0.58,0.0,0.07696104113612832,0.0295588022415444,17,0.36,0.29,0.53,0.51,0.039220713153281295,0.08
0.41,0.0,0.0295588022415444,0.009950330853168083,61,0.37,0.39,0.38,0.46,0.039220713153281295,0.1
0.79,0.0,0.04879016416943201,0.009950330853168083,28,0.32,0.3,0.52,0.25,0.07696104113612832,0.27
0.87,0.5,0.0295588022415444,0.0,9,0.93,0.9,0.66,0.53,0.0,0.15
0.57,0.0,0.019802627296179712,0.04879016416943201,11,0.37,0.33,0.69,0.59,0.07696104113612832,0.63
0.72,0.0,0.04879016416943201,0.0,3,0.3,0.27,0.17,0.6,0.0,0.05
0.54,0.0,0.15700374880966475,0.058268908123975775,49,0.6,0.58,0.62,0.56,0.11332868530700317,0.03
0.62,0.5,0.11332868530700317,0.06765864847381481,33,0.56,0.55,0.51,0.37,0.13976194237515868,0.12
0.23,0.5,0.5187937934151676,0.019802627296179712,46,0.55,0.59,0.44,0.58,0.04879016416943201,0.4
0.55,0.0,0.039220713153281295,0.009950330853168083,20,0.26,0.3,0.51,0.77,0.09531017980432487,0.37
0.88,0.5,0.08617769624105233,0.009950330853168083,29,0.76,0.66,0.63,0.45,0.0,0.45
0.62,0.5,0.20701416938432612,0.0,65,0.49,0.54,0.51,0.38,0.019802627296179712,0.04
0.45,0.0,0.07696104113612832,0.12221763272424921,37,0.42,0.4,0.52,0.48,0.13976194237515868,0.09
0.45,0.0,0.3293037471426004,0.039220713153281295,28,0.68,0.73,0.61,0.59,0.039220713153281295,0.09
0.86,0.5,0.0295588022415444,0.0,5,0.81,0.76,0.52,0.54,0.009950330853168083,0.39
0.59,0.0,0.04879016416943201,0.0295588022415444,12,0.35,0.34,0.56,0.53,0.04879016416943201,0.02
0.36,0.0,0.09531017980432487,0.009950330853168083,65,0.26,0.29,0.12,0.27,0.019802627296179712,0.34
0.91,1.0,0.04879016416943201,0.0,21,0.78,0.73,0.15,0.66,0.0,0.28
0.28,0.0,0.598836501088704,0.12221763272424921,12,0.17,0.2,0.47,0.77,0.13976194237515868,0.08
0.87,0.5,0.019802627296179712,0.0,45,0.89,0.85,0.3,0.42,0.009950330853168083,0.44
0.66,0.5,0.06765864847381481,0.009950330853168083,61,0.75,0.74,0.54,0.49,0.019802627296179712,0.24
0.52,0.0,0.08617769624105233,0.039220713153281295,53,0.12,0.08,0.47,0.72,0.06765864847381481,0.09
